Wood,Oven,Phase,IO_02L_Avg,UO_02_Avg,AO_02_Avg,IO_04R_Avg,FB_01_Avg,IO_01T_Avg,SA_01_Avg,P_01_Avg,AO_01_Avg,Roofline,Chimney,T_eff_Pot_1(%),T_eff_Pot_2(%)
M,O,Medium,262.9,312.9,221.1,200.4,793.2,253.9,303.4,398.7,441.4,81.2,146.4,17.197935839587124,3.2246129699226285
M,O,Medium,263.1,313.4,221.5,200.6,794.9,254,303.3,397.6,438.7,81.1,146.5,11.31512933111835,8.051149716372622
M,O,Medium,263.3,313.9,221.9,200.7,796.6,254.1,303.3,398.2,437.3,81.1,146.6,1.9831465012171583,2.864544946202623
M,O,Medium,263.5,314.4,222.3,200.9,798.4,254.1,303.3,398.6,436.5,81,146.5,24.555055351368292,6.250377725802776
M,O,Medium,263.7,314.8,222.6,201.1,799.9,254.2,303.4,398.6,434.7,80.9,146.5,5.655838310343942,9.049341296550356
M,O,Medium,264,315,223,201.2,801,254.3,303.5,398.5,431.5,80.8,146.4,17.202525130790868,8.715946066267351
M,O,Medium,264.2,315.1,223.2,201.4,802,254.3,303.6,397.1,427.4,80.8,146.2,20.471266234253292,5.350444583952582
M,O,Medium,264.4,315,223.3,201.6,803,254.4,303.8,395,423.3,80.7,146,11.56479214008741,4.48430715636047
M,O,Medium,264.6,314.8,223.3,201.7,803,254.5,303.9,393.4,419.2,80.7,145.9,19.88104920532397,5.7487371196117
M,O,Medium,264.8,314.4,223.2,201.9,804,254.5,304.1,392.8,415.5,80.7,145.7,16.778777821350126,5.349755247386961
M,O,Medium,265,314,223,202,804,254.6,304.3,393,412.7,80.7,145.4,9.630460453719248,7.654981386289703
M,O,Medium,265.2,313.4,222.7,202.2,805,254.6,304.5,392.3,410.4,80.7,145.2,21.31985597106697,5.518080368982049
M,O,Medium,265.3,312.7,222.4,202.3,805,254.6,304.7,390.6,407.9,80.7,144.9,18.602582436892177,9.428706166643956
M,O,Medium,265.5,312.1,222.1,202.4,805,254.6,304.8,388.2,404.5,80.7,144.6,10.099332575542633,9.840375330015858
M,O,Medium,265.6,311.5,221.7,202.6,806,254.6,304.9,385.2,400.7,80.8,144.3,10.791278908154418,1.3160096229456903
M,O,Medium,265.7,310.9,221.4,202.7,806,254.6,305,382.4,396.8,80.8,144,6.153923235825194,9.364665793646815
M,O,Medium,265.8,310.2,221,202.8,806,254.6,305.1,380.4,393.1,80.8,143.6,13.329715207079104,5.440700084522217
M,O,Medium,265.9,309.4,220.6,202.9,806,254.5,305.1,378.6,390,80.8,143.4,31.534586820856635,4.979145287503669
M,O,Medium,266,308.8,220.3,203,807,254.5,305,376.5,386.9,80.8,143.1,17.441364945293568,7.876745459164712
M,O,Medium,266,308.1,219.9,203,807,254.4,305,374.3,383.6,80.8,142.8,15.163961248814001,7.7250368626033294
M,O,Medium,266.1,307.3,219.5,203.1,807,254.3,304.9,372.4,380.9,80.8,142.5,11.640709320544842,5.820354660272525
M,O,Medium,266.1,306.4,218.9,203.2,806,254.2,304.9,371.1,378.7,80.8,142.3,22.20198086981791,9.768871582719829
